title,description
"XXXXXXXXXXX #XX/53 (EN) - Final Fantasy Art Series (FIN-AS)","✨ Carte MTG Magic The Gathering XXXXXXXXXXXXXX - Final Fantasy Art Series (FIN-AS)
📘 Version Anglaise 🇬🇧
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
"Cloud, Midgar Mercenary #375 (EN) - Final Fantasy (FIN) - NON FOIL","✨ Carte MTG Magic The Gathering Cloud, Midgar Mercenary #375 - Final Fantasy (FIN)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
"Yuna, Grand Summoner #192 (FR) - Final Fantasy Commander (FIC) - FOIL","✨ Carte MTG Magic The Gathering Yuna, Grand Summoner #192 - Final Fantasy Commander (FIC)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
"Kefka, Court Mage // Kefka, Ruler of Ruin #398 (FR) - Final Fantasy (FIN) - FOIL","✨ Carte MTG Magic The Gathering Kefka, Court Mage // Kefka, Ruler of Ruin #398 - Final Fantasy (FIN)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
Traveling Chocobo #210 (EN) - Final Fantasy (FIN) - NON FOIL,"✨ Carte MTG Magic The Gathering Traveling Chocobo #210 - Final Fantasy (FIN)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
"Ultimecia, Time Sorceress // Ultimecia, Omnipotent #513 (FR) - Final Fantasy (FIN) - FOIL","✨ Carte MTG Magic The Gathering Ultimecia, Time Sorceress // Ultimecia, Omnipotent #513 - Final Fantasy (FIN)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
"Purphoros, God of the Forge #14 (EN) - Final Fantasy: Through the Ages (FCA) - NON FOIL","✨ Carte MTG Magic The Gathering Purphoros, God of the Forge #14 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
Summon: Knights of Round #36 (EN) - Final Fantasy (FIN) - NON FOIL,"✨ Carte MTG Magic The Gathering Summon: Knights of Round #36 - Final Fantasy (FIN)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
Summon: Knights of Round #359 (FR) - Final Fantasy (FIN) - NON FOIL,"✨ Carte MTG Magic The Gathering Summon: Knights of Round #359 - Final Fantasy (FIN)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
Akroma's Will #21 (EN) - Final Fantasy: Through the Ages (FCA) - NON FOIL,"✨ Carte MTG Magic The Gathering Akroma's Will #21 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour des communes ou non communes que je pourrais avoir.
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
"
